age_description,jaw_description,eyes_description,hair_description,nose_description,race_description,beard_description,gender_description,eyebrows_description,expression_description,additionalInfo_description,Attractive_og_img,Race_og_img,Memorable_og_img,Filename_og_img,AWSFile_og_img,ParticipantId,Task Data,Submitted Data,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Gender,Country Of Residence,Household Income,Race,Employment Status
mid 30s,no beard,average nose,thick brown eyebrows,rounded jaw with some fat,white,smiling,male,"light color, possibley blue",smiling,,2.0,1.0,3.0,Google_1_Dale Pell_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Dale%20Pell_3_oval.jpg,1CF7C21F094A41B787AA4786ED542DC9,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Dale Pell_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Dale%20Pell_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":265}","{""Data"":{""taskData"":{""age"":""mid 30s"",""jaw"":""no beard"",""eyes"":""average nose"",""hair"":""thick brown eyebrows"",""nose"":""rounded jaw with some fat"",""race"":""white"",""beard"":""smiling"",""gender"":""male"",""eyebrows"":""light color, possibley blue"",""expression"":""smiling""}}}",53,"Bachelor's degree (for example: BA, AB, BS)",Female,"Agriculture, Food and Natural Resources",Married,Republican,Woman,United States,"$40,000-$49,999",White,Full-time
50's,slightly square,"hooded, brown",short brown,"slightly hooked, long bridge",white,none,male,thin brown,smiling,,3.0,1.0,2.0,Google_1_Maxine Mcnulty_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Maxine%20Mcnulty_3_oval.jpg,58CCCCA329F14371BB8F771982E9228D,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Maxine Mcnulty_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Maxine%20Mcnulty_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":503}","{""Data"":{""taskData"":{""age"":""50\u0027s"",""jaw"":""slightly square"",""eyes"":""hooded, brown"",""hair"":""short brown"",""nose"":""slightly hooked, long bridge"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""thin brown"",""expression"":""smiling""}}}",42,"Bachelor's degree (for example: BA, AB, BS)",Female,Arts,Single,Democrat,Woman,United States,"$20,000-$29,999",White,Business Owner
mid 20s,"soft, round",large brown,"long, curly black","small nostrils, long bridge",middle_eastern_south_asian,none,female,"thin, black",neutral,none,4.0,4.0,4.0,Google_1_Wayne Largent_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Wayne%20Largent_9_oval.jpg,B401D3A4F7BE443FAC5AEA0AD572589F,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""4.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Wayne Largent_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Wayne%20Largent_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":505}","{""Data"":{""taskData"":{""age"":""mid 20s"",""jaw"":""soft, round"",""eyes"":""large brown"",""hair"":""long, curly black"",""nose"":""small nostrils, long bridge"",""race"":""middle_eastern_south_asian"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin, black"",""expression"":""neutral"",""additionalInfo"":""none""}}}",42,"Professional degree (for example: MD, DDS, DVM, LLB, JD)",Male,Legal,Single,Democrat,Man,United States,"$90,000-$99,999",White,Full-time
40s,Pointed,"Small, brown","Short, dark blonde",Large,white,None,male,"Thin, blonde",smiling,,3.0,1.0,2.0,Google_1_Norman Sears_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Norman%20Sears_1_oval.jpg,7E0D9F23EB824361ABA9A049C64208D5,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Norman Sears_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Norman%20Sears_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":507}","{""Data"":{""taskData"":{""age"":""40s"",""jaw"":""Pointed"",""eyes"":""Small, brown"",""hair"":""Short, dark blonde"",""nose"":""Large"",""race"":""white"",""beard"":""None"",""gender"":""male"",""eyebrows"":""Thin, blonde"",""expression"":""smiling""}}}",30,"Bachelor's degree (for example: BA, AB, BS)",Female,Finance,In a relationship,Democrat,Woman,United States,"$40,000-$49,999",White,Full-time
mid 40s,round,large brown,blond,small nose and pointed,white,none,female,thin black,smiling,,3.0,1.0,3.0,Google_1_Steve Westbrooks_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Steve%20Westbrooks_3_oval.jpg,154F3FCAA9B44B7AB34F3F2ACD78CDA3,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Steve Westbrooks_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Steve%20Westbrooks_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":483}","{""Data"":{""taskData"":{""age"":""mid 40s"",""jaw"":""round"",""eyes"":""large brown"",""hair"":""blond"",""nose"":""small nose and pointed"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin black"",""expression"":""smiling""}}}",26,"Bachelor's degree (for example: BA, AB, BS)",Male,"Science, Technology, Engineering & Mathematics",In a relationship,Republican,Man,United States,"$70,000-$79,999",Black or African American,Full-time
40,wide,brown,blonde,pointed,white,none,female,brown,smiling,dressed in suit,2.0,1.0,3.0,Google_1_Marvin Cantor_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Marvin%20Cantor_5_oval.jpg,230CCD79BABC466F9F510CF2FF31247A,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Marvin Cantor_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Marvin%20Cantor_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":508}","{""Data"":{""taskData"":{""age"":""40"",""jaw"":""wide"",""eyes"":""brown"",""hair"":""blonde"",""nose"":""pointed"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""brown"",""expression"":""smiling"",""additionalInfo"":""dressed in suit""}}}",23,"Bachelor's degree (for example: BA, AB, BS)",Male,Arts,Single,Democrat,Man,United States,"$100,000-$124,999",Black or African American,Full-time
Mid-30's,Small,Average sized and brown,Short golden brown,Average sized,white,None,female,Brown,smiling,Wearing earrings,3.0,1.0,3.0,Google_1_Fred Cornish_17_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Fred%20Cornish_17_oval.jpg,D856BB1AA9654669BF0C590C2E2054B6,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Fred Cornish_17_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Fred%20Cornish_17_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":509}","{""Data"":{""taskData"":{""age"":""Mid-30\u0027s"",""jaw"":""Small"",""eyes"":""Average sized and brown"",""hair"":""Short golden brown"",""nose"":""Average sized"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Brown"",""expression"":""smiling"",""additionalInfo"":""Wearing earrings""}}}",26,"Associate degree (for example: AA, AS)",Male,Business Management & Administration,Single,Independent,Man,United States,"$30,000-$39,999",White,"Not in paid work (e.g., homemaker, disabled)"
Mid-30s,Circular,Large Brown Eyes,He had shorty hair.,Small nose and it was pointed,white,Filled up all the way,male,Thin Brown ,neutral,,3.0,1.0,3.0,Google_1_Natalie Harriman_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Natalie%20Harriman_9_oval.jpg,E0DDCDD4DC6248318AADE062CC508C75,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Natalie Harriman_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Natalie%20Harriman_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":510}","{""Data"":{""taskData"":{""age"":""Mid-30s"",""jaw"":""Circular"",""eyes"":""Large Brown Eyes"",""hair"":""He had shorty hair."",""nose"":""Small nose and it was pointed"",""race"":""white"",""beard"":""Filled up all the way"",""gender"":""male"",""eyebrows"":""Thin Brown "",""expression"":""neutral""}}}",25,"Some college, but no degree",Male,Information Technology,Single,Independent,Man,United States,"$100,000-$124,999",White,Full-time
mid 20,round,bright blue long lashes,white blonde,pug short bridge,white,none,female,thin arched brown,smiling,cooked upper lip,3.0,1.0,3.0,Google_1_Harold Gravitt_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Harold%20Gravitt_1_oval.jpg,9D032E38B67945B2800E9DC80560A9A0,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Harold Gravitt_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Harold%20Gravitt_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":511}","{""Data"":{""taskData"":{""age"":""mid 20"",""jaw"":""round"",""eyes"":""bright blue long lashes"",""hair"":""white blonde"",""nose"":""pug short bridge"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin arched brown"",""expression"":""smiling"",""additionalInfo"":""cooked upper lip""}}}",73,"Bachelor's degree (for example: BA, AB, BS)",Female,Education & Training,Divorced,Democrat,Woman,United States,"$90,000-$99,999",White,Retired
33,Angled,"Beedy, sharp, deep brown","Brown, medium length",Somewhat long,white,None,female,"Brown, arched",smiling,Creepty,3.0,1.0,3.0,Google_1_Leah Speaks_16_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Leah%20Speaks_16_oval.jpg,65D0878D91F1404DB34A5AF2AB9B55CB,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Leah Speaks_16_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Leah%20Speaks_16_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":513}","{""Data"":{""taskData"":{""age"":""33"",""jaw"":""Angled"",""eyes"":""Beedy, sharp, deep brown"",""hair"":""Brown, medium length"",""nose"":""Somewhat long"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Brown, arched"",""expression"":""smiling"",""additionalInfo"":""Creepty""}}}",22,"Some college, but no degree",Male,Other,Single,Democrat,Man,United States,"$80,000-$89,999",Black or African American,Unemployed
55,square,small brown,"dark brown, well-groomed","large and pointy, sizeable bridge",white,"short, close to the face",male,thick brown,smiling,,3.0,1.0,4.0,Google_1_Lillie Markowitz_13_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Lillie%20Markowitz_13_oval.jpg,F29184B2093B49E7A7FAEA972C2241AD,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Lillie Markowitz_13_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Lillie%20Markowitz_13_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":514}","{""Data"":{""taskData"":{""age"":""55"",""jaw"":""square"",""eyes"":""small brown"",""hair"":""dark brown, well-groomed"",""nose"":""large and pointy, sizeable bridge"",""race"":""white"",""beard"":""short, close to the face"",""gender"":""male"",""eyebrows"":""thick brown"",""expression"":""smiling""}}}",30,High school graduate - high school diploma or the equivalent (for example: GED),Male,I’d Rather Not Say,Single,Republican,Man,United States,"$20,000-$29,999",White,Student
mid 70s,square,Large eyes hazel,Short straight black,"long nose, flat",white,none,male,Thin and not full,smiling,,3.0,1.0,3.0,Google_1_Peter Pickard_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Peter%20Pickard_3_oval.jpg,A7C4EBB459E44C5C91BAD67D6AD3755D,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Peter Pickard_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Peter%20Pickard_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":515}","{""Data"":{""taskData"":{""age"":""mid 70s"",""jaw"":""square"",""eyes"":""Large eyes hazel"",""hair"":""Short straight black"",""nose"":""long nose, flat"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""Thin and not full"",""expression"":""smiling""}}}",24,Less than a high school diploma,Male,Information Technology,Single,Democrat,Man,United States,"$40,000-$49,999",White,Student
mid-30s,wide,broqn,brown and short,big,white,none,male,bushy,smiling,,2.0,1.0,2.0,Google_1_Chris Rahman_11_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Chris%20Rahman_11_oval.jpg,605041E322EA410796FA219E4EF7D0D9,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Chris Rahman_11_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Chris%20Rahman_11_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":516}","{""Data"":{""taskData"":{""age"":""mid-30s"",""jaw"":""wide"",""eyes"":""broqn"",""hair"":""brown and short"",""nose"":""big"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""bushy"",""expression"":""smiling""}}}",28,"Some college, but no degree",Female,Hospitality & Tourism,Separated,Republican,Woman,United States,"$50,000-$59,999",White,"Not in paid work (e.g., homemaker, disabled)"
70s,pointed,brown,short and grey,small,white,none,male,grey,neutral,none,2.0,1.0,3.0,Google_1_Russell Land_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Russell%20Land_1_oval.jpg,849308D4784E44EC9A2A6D7562C0B570,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Russell Land_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Russell%20Land_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":517}","{""Data"":{""taskData"":{""age"":""70s"",""jaw"":""pointed"",""eyes"":""brown"",""hair"":""short and grey"",""nose"":""small"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""grey"",""expression"":""neutral"",""additionalInfo"":""none""}}}",25,"Some college, but no degree",Female,Other,Single,Democrat,Woman,United States,"$30,000-$39,999",White,Student
47,rounded,almond shaped brown,cropped,large nose,black,none,male,medium brown,neutral,"no glasses.
",3.0,2.0,2.0,Google_1_Tammy Risinger_7_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Tammy%20Risinger_7_oval.jpg,C29428ACD3FB4DE4AD337D9A83D952F8,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Tammy Risinger_7_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Tammy%20Risinger_7_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":518}","{""Data"":{""taskData"":{""age"":""47"",""jaw"":""rounded"",""eyes"":""almond shaped brown"",""hair"":""cropped"",""nose"":""large nose"",""race"":""black"",""beard"":""none"",""gender"":""male"",""eyebrows"":""medium brown"",""expression"":""neutral"",""additionalInfo"":""no glasses.\n""}}}",54,"Some college, but no degree",Female,Other,Married,Independent,Woman,United States,"$70,000-$79,999",White,Student
Mid-50s to 60s,"Round somewhat fat jaw, slight double-chin.","Blue eyes, almond shape, wrinkled area below the eyes.","Medium curvy hair, light gray at the top with brown on the sides.","Chubby nose, a little wide.",white,None.,female,Curved medium eyebrows.,smiling,,2.0,1.0,3.0,Google_1_Vivian Tucker_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Vivian%20Tucker_9_oval.jpg,3E50E5C7826942788933DA580797EAEB,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Vivian Tucker_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Vivian%20Tucker_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":519}","{""Data"":{""taskData"":{""age"":""Mid-50s to 60s"",""jaw"":""Round somewhat fat jaw, slight double-chin."",""eyes"":""Blue eyes, almond shape, wrinkled area below the eyes."",""hair"":""Medium curvy hair, light gray at the top with brown on the sides."",""nose"":""Chubby nose, a little wide."",""race"":""white"",""beard"":""None."",""gender"":""female"",""eyebrows"":""Curved medium eyebrows."",""expression"":""smiling""}}}",41,"Bachelor's degree (for example: BA, AB, BS)",Male,Information Technology,In a relationship,Republican,Man,United States,"$100,000-$124,999",Filipino,Unemployed
60s,pointy,large blue,receding light brown-red,larger and sloped downwards,white,none,male,thick brown,smiling,,2.0,1.0,3.0,Google_1_Helen Hennessy_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Helen%20Hennessy_5_oval.jpg,7544AE75C4B8401B95C17777828644FD,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Helen Hennessy_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Helen%20Hennessy_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":520}","{""Data"":{""taskData"":{""age"":""60s"",""jaw"":""pointy"",""eyes"":""large blue"",""hair"":""receding light brown-red"",""nose"":""larger and sloped downwards"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""thick brown"",""expression"":""smiling""}}}",32,"Doctorate degree (for example: PhD, EdD)",Female,"Science, Technology, Engineering & Mathematics",In a civil union/partnership,Democrat,Woman,United States,"$70,000-$79,999",White,Full-time
70s,Rounded ,"Medium, brown","Short, white ",Moderately sized ,white,"Short, white",male,"White, arc",neutral,"Balding 
",3.0,1.0,4.0,Alison_Stallings_12_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Alison_Stallings_12_oval.jpg,A96A593B28964EC08503131C9C561824,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Alison_Stallings_12_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Alison_Stallings_12_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":495}","{""Data"":{""taskData"":{""age"":""70s"",""jaw"":""Rounded "",""eyes"":""Medium, brown"",""hair"":""Short, white "",""nose"":""Moderately sized "",""race"":""white"",""beard"":""Short, white"",""gender"":""male"",""eyebrows"":""White, arc"",""expression"":""neutral"",""additionalInfo"":""Balding \n""}}}",25,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,In a relationship,Independent,Woman,United States,"$150,0000-$174,999",White,Full-time
30s,curved,rounded,shoulder length blonde-brown,she had a normal nose,white,negative,female,"eyebrows, yes",smiling,none,4.0,1.0,4.0,Google_1_Danielle Goble_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Danielle%20Goble_15_oval.jpg,E71BD9864D2F4A05B28E17E29EDCD0D3,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Danielle Goble_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Danielle%20Goble_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":521}","{""Data"":{""taskData"":{""age"":""30s"",""jaw"":""curved"",""eyes"":""rounded"",""hair"":""shoulder length blonde-brown"",""nose"":""she had a normal nose"",""race"":""white"",""beard"":""negative"",""gender"":""female"",""eyebrows"":""eyebrows, yes"",""expression"":""smiling"",""additionalInfo"":""none""}}}",42,"Some college, but no degree",Male,"Transportation, Distribution & Logistics",Single,Democrat,Man,United States,"$70,000-$79,999",White,Full-time
early 30s,round,dark brown,short straight ,small and wide,black,none,female,brown,smiling,,4.0,2.0,3.0,Google_1_Phillip Dear_13_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Phillip%20Dear_13_oval.jpg,A5011544B35548DB816CA9FAD40698D5,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Phillip Dear_13_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Phillip%20Dear_13_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":522}","{""Data"":{""taskData"":{""age"":""early 30s"",""jaw"":""round"",""eyes"":""dark brown"",""hair"":""short straight "",""nose"":""small and wide"",""race"":""black"",""beard"":""none"",""gender"":""female"",""eyebrows"":""brown"",""expression"":""smiling""}}}",49,"Bachelor's degree (for example: BA, AB, BS)",Male,"Science, Technology, Engineering & Mathematics",Married,Democrat,Man,United States,"$175,000-$199,999",White,Full-time
