age_description,jaw_description,eyes_description,hair_description,nose_description,race_description,beard_description,gender_description,eyebrows_description,expression_description,additionalInfo_description,Attractive_og_img,Race_og_img,Memorable_og_img,Filename_og_img,AWSFile_og_img,ParticipantId,Task Data,Submitted Data,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Gender,Country Of Residence,Household Income,Race,Employment Status,Filepath_og_img,DALLE_img_filepath,DALLE_images_transformed
Late 20's,Wide jaw,Brown eyes,"Short dark hair, receding hairline",Large nostrils,asian,No beard,male,Thick and arched,smiling,"Large white teeth, great smile",3.0,3.0,2.0,Fred_Wiser_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Fred_Wiser_9_oval.jpg,2005C80C4D674B82A36FD906AE99C269,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""3.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Fred_Wiser_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Fred_Wiser_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":203}","{""Data"":{""taskData"":{""age"":""Late 20\u0027s"",""jaw"":""Wide jaw"",""eyes"":""Brown eyes"",""hair"":""Short dark hair, receding hairline"",""nose"":""Large nostrils"",""race"":""asian"",""beard"":""No beard"",""gender"":""male"",""eyebrows"":""Thick and arched"",""expression"":""smiling"",""additionalInfo"":""Large white teeth, great smile""}}}",70,"Bachelor's degree (for example: BA, AB, BS)",Female,Hospitality & Tourism,Widowed,Democrat,Woman,United States,"$30,000-$39,999",White,Full-time,1k-MTurk-Images/Fred_Wiser_9_oval.jpg,DALLE_images/Fred_Wiser_9_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Fred_Wiser_9_oval_DALLE_TRANSFORMED.jpg
mid 20s,well defined,dark brow,short natural hair,larger nostrils,black,goatee and mustacha,male,"thick, somewhat rounded and short, black",smiling,VERY white teeth,3.0,2.0,3.0,Google_1_Joshua Mcmillon_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Joshua%20Mcmillon_1_oval.jpg,511D1EE8F9B84C5E843FE8EBD8DBEF50,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Joshua Mcmillon_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Joshua%20Mcmillon_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":204}","{""Data"":{""taskData"":{""age"":""mid 20s"",""jaw"":""well defined"",""eyes"":""dark brow"",""hair"":""short natural hair"",""nose"":""larger nostrils"",""race"":""black"",""beard"":""goatee and mustacha"",""gender"":""male"",""eyebrows"":""thick, somewhat rounded and short, black"",""expression"":""smiling"",""additionalInfo"":""VERY white teeth""}}}",37,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,"Science, Technology, Engineering & Mathematics",In a relationship,Independent,Man,United States,"$80,000-$89,999",White,Part-time,1k-MTurk-Images/Google_1_Joshua Mcmillon_1_oval.jpg,DALLE_images/Google_1_Joshua Mcmillon_1_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Joshua Mcmillon_1_oval_DALLE_TRANSFORMED.jpg
late 30's,somewhat pointed,"average size, gray color","short, light brown",average sized,white,"partial beard - chin and moustache, similar color to hair",male,"thick, low on his face",other,"slightly receding hairline, ",1.0,1.0,3.0,Google_1_Leonard Overcash_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Leonard%20Overcash_5_oval.jpg,E8B8E95C616A4D40833085E87D9A0F70,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Leonard Overcash_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Leonard%20Overcash_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":206}","{""Data"":{""taskData"":{""age"":""late 30\u0027s"",""jaw"":""somewhat pointed"",""eyes"":""average size, gray color"",""hair"":""short, light brown"",""nose"":""average sized"",""race"":""white"",""beard"":""partial beard - chin and moustache, similar color to hair"",""gender"":""male"",""eyebrows"":""thick, low on his face"",""expression"":""other"",""additionalInfo"":""slightly receding hairline, ""}}}",60,"Doctorate degree (for example: PhD, EdD)",Male,Medicine,Married,Democrat,Man,United States,"$250,000 or more",White,Full-time,1k-MTurk-Images/Google_1_Leonard Overcash_5_oval.jpg,DALLE_images/Google_1_Leonard Overcash_5_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Leonard Overcash_5_oval_DALLE_TRANSFORMED.jpg
50s,slightly long,medium brown,short grey hair,"medium, reddish",white,none,male,white medium,neutral,looks like he had a sunburn.,3.0,1.0,3.0,Google_1_Mike Hahn_17_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Mike%20Hahn_17_oval.jpg,EBFC3430E90F46DAB5598E79069230D0,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Mike Hahn_17_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Mike%20Hahn_17_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":10}","{""Data"":{""taskData"":{""age"":""50s"",""jaw"":""slightly long"",""eyes"":""medium brown"",""hair"":""short grey hair"",""nose"":""medium, reddish"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""white medium"",""expression"":""neutral"",""additionalInfo"":""looks like he had a sunburn.""}}}",26,"Bachelor's degree (for example: BA, AB, BS)",Male,Education & Training,In a relationship,Democrat,Man,United States,"$125,000-$149,999",White,Full-time,1k-MTurk-Images/Google_1_Mike Hahn_17_oval.jpg,DALLE_images/Google_1_Mike Hahn_17_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Mike Hahn_17_oval_DALLE_TRANSFORMED.jpg
25,round,brown,short brunette,big nose,white,none,male,thin,smiling,No description provided,3.0,1.0,1.0,Google_1_Brian Kellner_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Brian%20Kellner_1_oval.jpg,A2243BDA2F7746DAA622C12DC04CF070,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""1.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Brian Kellner_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Brian%20Kellner_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":45}","{""Data"":{""taskData"":{""age"":""25"",""jaw"":""round"",""eyes"":""brown"",""hair"":""short brunette"",""nose"":""big nose"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""thin"",""expression"":""smiling""}}}",44,"Bachelor's degree (for example: BA, AB, BS)",Female,Medicine,In a relationship,Republican,Woman,United States,"$125,000-$149,999",Korean,Full-time,1k-MTurk-Images/Google_1_Brian Kellner_1_oval.jpg,DALLE_images/Google_1_Brian Kellner_1_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Brian Kellner_1_oval_DALLE_TRANSFORMED.jpg
mid 30's,round,dark brown,short and brown,pointed,white,none,female,thin,neutral,none,3.0,1.0,2.0,Google_1_Charles Harker_11_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Charles%20Harker_11_oval.jpg,5AA0D8820B684BDCB0B9D1585467496B,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Charles Harker_11_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Charles%20Harker_11_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":207}","{""Data"":{""taskData"":{""age"":""mid 30\u0027s"",""jaw"":""round"",""eyes"":""dark brown"",""hair"":""short and brown"",""nose"":""pointed"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin"",""expression"":""neutral"",""additionalInfo"":""none""}}}",21,"Some college, but no degree",Male,"Transportation, Distribution & Logistics",In a relationship,Republican,Man,United States,"$20,000-$29,999",White,Part-time,1k-MTurk-Images/Google_1_Charles Harker_11_oval.jpg,DALLE_images/Google_1_Charles Harker_11_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Charles Harker_11_oval_DALLE_TRANSFORMED.jpg
mid-20s to early-30s,"Thin, squared","Tired, sunken grey-blue","Short, straight, styled dark brown","Large nostrils, wide bridge",white,"Light stubble along upper lip, jaw, and chin",male,"Thick, dark, short",neutral,Prominent forehead wrinkles,4.0,1.0,3.0,Ada_Riddick_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Ada_Riddick_15_oval.jpg,C085C78D29174F298653AC033D449C6F,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Ada_Riddick_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Ada_Riddick_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":185}","{""Data"":{""taskData"":{""age"":""mid-20s to early-30s"",""jaw"":""Thin, squared"",""eyes"":""Tired, sunken grey-blue"",""hair"":""Short, straight, styled dark brown"",""nose"":""Large nostrils, wide bridge"",""race"":""white"",""beard"":""Light stubble along upper lip, jaw, and chin"",""gender"":""male"",""eyebrows"":""Thick, dark, short"",""expression"":""neutral"",""additionalInfo"":""Prominent forehead wrinkles""}}}",26,"Some college, but no degree",Female,I’d Rather Not Say,In a relationship,Independent,Man,United States,"$40,000-$49,999",White,Unemployed,1k-MTurk-Images/Ada_Riddick_15_oval.jpg,DALLE_images/Ada_Riddick_15_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Ada_Riddick_15_oval_DALLE_TRANSFORMED.jpg
50s,round,"hooded, brown, crows feet",black,small nostrils,white,none,female,"maintained, plucked, shaped brown",smiling,dimples,2.0,4.0,2.0,Google_1_Doris Poston_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Doris%20Poston_1_oval.jpg,CFF2B7CEB4E84DAB80294428DA84CDC2,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""4.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Doris Poston_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Doris%20Poston_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":208}","{""Data"":{""taskData"":{""age"":""50s"",""jaw"":""round"",""eyes"":""hooded, brown, crows feet"",""hair"":""black"",""nose"":""small nostrils"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""maintained, plucked, shaped brown"",""expression"":""smiling"",""additionalInfo"":""dimples""}}}",48,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Married,Independent,Woman,United States,"$70,000-$79,999",White,"Not in paid work (e.g., homemaker, disabled)",1k-MTurk-Images/Google_1_Doris Poston_1_oval.jpg,DALLE_images/Google_1_Doris Poston_1_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Doris Poston_1_oval_DALLE_TRANSFORMED.jpg
mid 40s,pointed,large brown,"short, brown, with a bang",small nostrils and pointed,white,"shaved, stubble beard",male,thick brown,smiling,No description provided,3.0,1.0,2.0,Google_1_Lisa Byler_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Lisa%20Byler_15_oval.jpg,41C99B9AA1B64130A4BA9CC27E9DD12F,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Lisa Byler_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Lisa%20Byler_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":209}","{""Data"":{""taskData"":{""age"":""mid 40s"",""jaw"":""pointed"",""eyes"":""large brown"",""hair"":""short, brown, with a bang"",""nose"":""small nostrils and pointed"",""race"":""white"",""beard"":""shaved, stubble beard"",""gender"":""male"",""eyebrows"":""thick brown"",""expression"":""smiling""}}}",21,"Bachelor's degree (for example: BA, AB, BS)",Female,Medicine,Single,Republican,Woman,United States,"$20,000-$29,999",Black or African American,Student,1k-MTurk-Images/Google_1_Lisa Byler_15_oval.jpg,DALLE_images/Google_1_Lisa Byler_15_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Lisa Byler_15_oval_DALLE_TRANSFORMED.jpg
38,oval,normal size,thin and brunette,normal size,asian,no beard,female,large brown,smiling,"appears to be in a good mood, pleased look on her face",4.0,5.0,3.0,Google_1_Carrie Conlin_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Carrie%20Conlin_3_oval.jpg,5FF5B2395F8E49718435D23064F243BA,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""5.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Carrie Conlin_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Carrie%20Conlin_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":202}","{""Data"":{""taskData"":{""age"":""38"",""jaw"":""oval"",""eyes"":""normal size"",""hair"":""thin and brunette"",""nose"":""normal size"",""race"":""asian"",""beard"":""no beard"",""gender"":""female"",""eyebrows"":""large brown"",""expression"":""smiling"",""additionalInfo"":""appears to be in a good mood, pleased look on her face""}}}",29,"Bachelor's degree (for example: BA, AB, BS)",Male,Finance,Single,Republican,Man,United States,"$250,000 or more",White,Full-time,1k-MTurk-Images/Google_1_Carrie Conlin_3_oval.jpg,DALLE_images/Google_1_Carrie Conlin_3_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Carrie Conlin_3_oval_DALLE_TRANSFORMED.jpg
305,small proportioned jaw,brown,short straight black hair,"even nose, small nostrils",asian,none,female,thin brown,neutral,"had earrings, and maybe a headband ",4.0,3.0,4.0,Google_1_Ralph Ostrom_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Ralph%20Ostrom_5_oval.jpg,B1A06E09C98D4863AA9688D4DE70EF55,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""3.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Ralph Ostrom_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Ralph%20Ostrom_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":210}","{""Data"":{""taskData"":{""age"":""305"",""jaw"":""small proportioned jaw"",""eyes"":""brown"",""hair"":""short straight black hair"",""nose"":""even nose, small nostrils"",""race"":""asian"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin brown"",""expression"":""neutral"",""additionalInfo"":""had earrings, and maybe a headband ""}}}",37,"Bachelor's degree (for example: BA, AB, BS)",Male,Retail,Divorced,Republican,Man,United States,"$50,000-$59,999",White,Full-time,1k-MTurk-Images/Google_1_Ralph Ostrom_5_oval.jpg,DALLE_images/Google_1_Ralph Ostrom_5_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Ralph Ostrom_5_oval_DALLE_TRANSFORMED.jpg
Late 20s,Some what square ,Very black,Black very short ,Average pointed nose,other,None,male,Sparse black,neutral,No facial hair,1.0,5.0,2.0,Google_1_Carrie Miguel_11_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Carrie%20Miguel_11_oval.jpg,EDF67A6C9EA747CA8E46E95A7D30088E,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""5.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Carrie Miguel_11_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Carrie%20Miguel_11_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":211}","{""Data"":{""taskData"":{""age"":""Late 20s"",""jaw"":""Some what square "",""eyes"":""Very black"",""hair"":""Black very short "",""nose"":""Average pointed nose"",""race"":""other"",""beard"":""None"",""gender"":""male"",""eyebrows"":""Sparse black"",""expression"":""neutral"",""additionalInfo"":""No facial hair""}}}",35,"Some college, but no degree",Female,Other,Single,Prefer not to say,Woman,United States,"$10,000-$19,999",White,"Not in paid work (e.g., homemaker, disabled)",1k-MTurk-Images/Google_1_Carrie Miguel_11_oval.jpg,DALLE_images/Google_1_Carrie Miguel_11_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Carrie Miguel_11_oval_DALLE_TRANSFORMED.jpg
50s,square jaw,happy grey,short blond balding,pointed small nose,white,none,male,normal light brown ,smiling,happy face,2.0,1.0,3.0,Google_1_Terry Maciel_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Terry%20Maciel_1_oval.jpg,D1DB52035DA44D2299EF920A5BE63D37,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Terry Maciel_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Terry%20Maciel_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":11}","{""Data"":{""taskData"":{""age"":""50s"",""jaw"":""square jaw"",""eyes"":""happy grey"",""hair"":""short blond balding"",""nose"":""pointed small nose"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""normal light brown "",""expression"":""smiling"",""additionalInfo"":""happy face""}}}",31,"Associate degree (for example: AA, AS)",Male,Government & Public Administration,Single,Democrat,Man,United States,"$40,000-$49,999",White,Full-time,1k-MTurk-Images/Google_1_Terry Maciel_1_oval.jpg,DALLE_images/Google_1_Terry Maciel_1_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Terry Maciel_1_oval_DALLE_TRANSFORMED.jpg
mid 30's,average,"medium, evenly spaced brown","short, dark brown, few grays at temples",even and slight upturn,white,slight 5 o'clock shadow,male,medium thickness dark brown,smiling,"Pleasant look, even features",3.0,1.0,1.0,Google_1_Glenn Kutz_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Glenn%20Kutz_9_oval.jpg,4114CB4BD8DD4181974831F6A1E41B6D,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""1.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Glenn Kutz_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Glenn%20Kutz_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":212}","{""Data"":{""taskData"":{""age"":""mid 30\u0027s"",""jaw"":""average"",""eyes"":""medium, evenly spaced brown"",""hair"":""short, dark brown, few grays at temples"",""nose"":""even and slight upturn"",""race"":""white"",""beard"":""slight 5 o\u0027clock shadow"",""gender"":""male"",""eyebrows"":""medium thickness dark brown"",""expression"":""smiling"",""additionalInfo"":""Pleasant look, even features""}}}",41,"Bachelor's degree (for example: BA, AB, BS)",Female,I’d Rather Not Say,I’d Rather Not Say,Prefer not to say,Woman,United States,Prefer not to say,White,Prefer not to say,1k-MTurk-Images/Google_1_Glenn Kutz_9_oval.jpg,DALLE_images/Google_1_Glenn Kutz_9_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Glenn Kutz_9_oval_DALLE_TRANSFORMED.jpg
40-60,Chin butting out in a roundish shape,"Nearly squinting, hazel eyes","Short black beginning to gray, receding in a V-like shape",Large straight sloping nose,white,None,female,"Black/dark brown tapering at both ends, natural thick.",smiling,No description provided,4.0,1.0,4.0,Google_1_Tony Naughton_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Tony%20Naughton_1_oval.jpg,FFC7F9876AC14EA89D7705EA768EACA3,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Tony Naughton_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Tony%20Naughton_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":2}","{""Data"":{""taskData"":{""age"":""40-60"",""jaw"":""Chin butting out in a roundish shape"",""eyes"":""Nearly squinting, hazel eyes"",""hair"":""Short black beginning to gray, receding in a V-like shape"",""nose"":""Large straight sloping nose"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Black/dark brown tapering at both ends, natural thick."",""expression"":""smiling""}}}",21,High school graduate - high school diploma or the equivalent (for example: GED),Male,Information Technology,Single,Democrat,Non-binary,United States,Prefer not to say,White,Unemployed,1k-MTurk-Images/Google_1_Tony Naughton_1_oval.jpg,DALLE_images/Google_1_Tony Naughton_1_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Tony Naughton_1_oval_DALLE_TRANSFORMED.jpg
mid 40s to 50,"No beard, small growth of stubble","normal, nothing stands out",short and dark with a sprinkle of grey near the ears,nothing remarkable about the jawline,white,straight face,male,dark and small,neutral,"large forehead, small lips",3.0,1.0,3.0,Google_1_Matthew Ennis_11_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Matthew%20Ennis_11_oval.jpg,E21FFD522946490CB87AD7E4907B2519,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Matthew Ennis_11_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Matthew%20Ennis_11_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":213}","{""Data"":{""taskData"":{""age"":""mid 40s to 50"",""jaw"":""No beard, small growth of stubble"",""eyes"":""normal, nothing stands out"",""hair"":""short and dark with a sprinkle of grey near the ears"",""nose"":""nothing remarkable about the jawline"",""race"":""white"",""beard"":""straight face"",""gender"":""male"",""eyebrows"":""dark and small"",""expression"":""neutral"",""additionalInfo"":""large forehead, small lips""}}}",39,"Some college, but no degree",Female,Other,In a civil union/partnership,Democrat,Woman,United States,"$80,000-$89,999",White,Full-time,1k-MTurk-Images/Google_1_Matthew Ennis_11_oval.jpg,DALLE_images/Google_1_Matthew Ennis_11_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Matthew Ennis_11_oval_DALLE_TRANSFORMED.jpg
